Comment,Cycles,DeepSleep,Framerate,From,Geo,Hours,Id,LenAdjust,Noise,Rating,Sched,Snore,To,Tz
Manually added,-1,-2.0,10,28. 06. 2015 1:30,,5.500,1435447800000,0,0.0,0.0,28. 06. 2015 7:00,-1,28. 06. 2015 7:00,Europe/Vienna
Manually added,-1,-2.0,10,27. 06. 2015 4:00,,5.830,1435370400000,0,0.0,0.0,27. 06. 2015 9:50,-1,27. 06. 2015 9:50,Europe/Vienna
work     #home,4,0.4691358,10,26. 06. 2015 0:32,e065c68,6.770,1435271531311,-2,0.1158719,0.0,26. 06. 2015 8:05,336,26. 06. 2015 7:18,Europe/Vienna
Manually added,-1,-2.0,10,25. 06. 2015 1:00,,5.330,1435186800000,0,0.0,0.0,25. 06. 2015 6:20,-1,25. 06. 2015 6:20,Europe/Vienna
work     #home,7,0.5104167,10,23. 06. 2015 23:28,e065c68,6.410,1435094925117,-2,0.054040357,0.0,24. 06. 2015 8:05,588,24. 06. 2015 5:53,Europe/Vienna
Manually added,-1,-2.0,10,22. 06. 2015 23:41,,8.070,1435009260000,0,0.0,0.0,23. 06. 2015 7:45,-1,23. 06. 2015 7:45,Europe/Vienna
Manually added,-1,-2.0,10,22. 06. 2015 2:30,,3.330,1434933000000,0,0.0,0.0,22. 06. 2015 5:50,-1,22. 06. 2015 5:50,Europe/Vienna
  #home,7,0.6585366,10,19. 06. 2015 23:29,e065c60,9.080,1434749390162,-2,0.043274317,4.0,22. 06. 2015 8:05,84,20. 06. 2015 8:34,Europe/Vienna
work     #home,5,0.375,10,17. 06. 2015 23:23,e065c3d,7.370,1434576197185,-2,0.23824884,4.5,18. 06. 2015 7:00,0,18. 06. 2015 6:45,Europe/Vienna
work  #newmoon    #home,3,0.3030303,10,16. 06. 2015 23:43,e065c3d,7.740,1434490987225,-2,0.09597248,0.0,17. 06. 2015 8:00,0,17. 06. 2015 7:27,Europe/Vienna
work  #newmoon   #home,5,0.39583334,10,16. 06. 2015 0:23,e065c3d,6.440,1434406990539,-2,0.069031656,4.5,16. 06. 2015 8:00,0,16. 06. 2015 6:49,Europe/Vienna
work   #home,4,0.32941177,10,14. 06. 2015 23:18,e065c3d,8.310,1434316688818,-2,0.16941054,4.5,15. 06. 2015 8:00,84,15. 06. 2015 7:36,Europe/Vienna
  #home,7,0.5555556,10,13. 06. 2015 23:28,e065c3d,8.860,1434230930102,-2,0.10253261,0.0,15. 06. 2015 8:00,0,14. 06. 2015 8:20,Europe/Vienna
work    #home,5,0.57471263,10,11. 06. 2015 23:40,e065c3d,8.420,1434058854824,-2,0.116854526,0.0,12. 06. 2015 8:00,0,12. 06. 2015 8:06,Europe/Vienna
work  #alcohol  #home,4,0.63414633,10,10. 06. 2015 0:03,e065c3d,6.810,1433887417374,-2,0.0559616,0.0,10. 06. 2015 8:14,252,10. 06. 2015 6:52,Europe/Vienna
Manually added,-1,-2.0,10,09. 06. 2015 6:55,,0.500,1433825713034,0,0.0,0.0,09. 06. 2015 7:25,-1,09. 06. 2015 7:25,Europe/Vienna
work       #home,6,0.45833334,10,09. 06. 2015 0:16,e065c3d,6.440,1433801810653,-2,0.089231074,0.0,09. 06. 2015 8:14,84,09. 06. 2015 6:43,Europe/Vienna
work    #home,3,0.39506173,10,07. 06. 2015 23:39,e065c3d,7.860,1433713177296,-2,0.054778308,4.5,08. 06. 2015 8:14,0,08. 06. 2015 7:31,Europe/Vienna
  #home,8,0.59770113,10,07. 06. 2015 1:16,e065c3d,7.240,1433632563916,-2,0.06411617,0.0,08. 06. 2015 8:14,84,07. 06. 2015 8:30,Europe/Vienna
 #alcohol  #home,4,0.5,10,06. 06. 2015 0:49,e065c3d,5.580,1433544570131,-2,0.048457325,0.0,08. 06. 2015 8:14,168,06. 06. 2015 6:24,Europe/Vienna
work     #home,6,0.64044946,10,05. 06. 2015 0:45,e065c3d,7.410,1433457907641,-2,0.027710594,4.25,05. 06. 2015 8:14,84,05. 06. 2015 8:09,Europe/Vienna
Manually added,-1,-2.0,10,04. 06. 2015 0:20,,3.250,1433370000000,0,0.0,0.0,04. 06. 2015 3:35,-1,04. 06. 2015 3:35,Europe/Vienna
Nap length 0:30    #home,-1,-1.0,10,03. 06. 2015 8:36,e065c3d,0.420,1433313366365,-2,0.029808559,0.0,03. 06. 2015 9:06,0,03. 06. 2015 9:01,Europe/Vienna
work  #fullmoon     #home,4,0.6043956,10,03. 06. 2015 0:30,e065c3d,6.340,1433284247827,-2,0.12562694,0.0,03. 06. 2015 8:14,0,03. 06. 2015 6:51,Europe/Vienna
work  #fullmoon    #home,5,0.48453608,10,02. 06. 2015 0:34,e065c3d,7.570,1433198096246,-2,0.11088739,3.0,02. 06. 2015 8:14,0,02. 06. 2015 8:09,Europe/Vienna
work    #home,5,0.6744186,10,01. 06. 2015 0:34,e065c3d,7.150,1433111640385,-2,0.035589613,0.0,01. 06. 2015 8:00,84,01. 06. 2015 7:43,Europe/Vienna
Manually added,-1,-2.0,10,31. 05. 2015 1:00,,7.580,1433026800000,0,0.0,0.0,31. 05. 2015 8:35,-1,31. 05. 2015 8:35,Europe/Vienna
Manually added,-1,-2.0,10,30. 05. 2015 10:30,,2.170,1432974600000,0,0.0,0.0,30. 05. 2015 12:40,-1,30. 05. 2015 12:40,Europe/Vienna
Manually added,-1,-2.0,10,30. 05. 2015 4:15,,4.750,1432952100000,0,0.0,0.0,30. 05. 2015 9:00,-1,30. 05. 2015 9:00,Europe/Vienna
work   #home,5,0.5151515,10,29. 05. 2015 0:17,e065c3d,7.750,1432851468541,-2,0.07048646,3.75,29. 05. 2015 8:00,0,29. 05. 2015 8:02,Europe/Vienna
work      #home,5,0.6262626,10,28. 05. 2015 0:19,e065c3d,5.490,1432765194966,-2,0.071800746,0.0,28. 05. 2015 8:00,0,28. 05. 2015 5:49,Europe/Vienna
Nap length 0:40   #home,-1,-1.0,10,27. 05. 2015 19:59,e065c3d,0.370,1432749576832,-1,0.01943489,0.0,27. 05. 2015 20:39,0,27. 05. 2015 20:22,Europe/Vienna
work     #home,9,0.5816327,10,27. 05. 2015 0:24,e065c3d,7.600,1432679056915,-2,0.046269264,4.5,27. 05. 2015 8:00,0,27. 05. 2015 8:00,Europe/Vienna
work     #home,5,0.5185185,10,26. 05. 2015 0:03,e065c3d,7.880,1432591393043,-2,0.038480353,3.5,26. 05. 2015 8:00,0,26. 05. 2015 7:55,Europe/Vienna
work     #home,7,0.6701031,10,25. 05. 2015 0:41,e065c3d,7.540,1432507271029,-2,0.026578434,0.0,25. 05. 2015 8:00,0,25. 05. 2015 8:13,Europe/Vienna
  #home,6,0.56179774,10,24. 05. 2015 1:11,e065c3d,7.430,1432422660118,-2,0.04869161,0.0,25. 05. 2015 8:00,84,24. 05. 2015 8:36,Europe/Vienna
Manually added,-1,-2.0,10,23. 05. 2015 8:45,,1.570,1432363531985,0,0.0,0.0,23. 05. 2015 10:20,-1,23. 05. 2015 10:20,Europe/Vienna
  #home,3,0.4659091,10,23. 05. 2015 0:57,e065c68,4.870,1432335435050,-2,0.07955725,0.0,25. 05. 2015 8:00,84,23. 05. 2015 5:49,Europe/Vienna
work     #home,3,0.4516129,10,20. 05. 2015 3:59,e065c68,3.870,1432087162290,-2,0.055431664,0.0,20. 05. 2015 8:00,0,20. 05. 2015 7:51,Europe/Vienna
work    #home,5,0.81914896,10,20. 05. 2015 0:42,e065c68,3.170,1432075371824,-2,0.00907398,0.0,20. 05. 2015 8:00,84,20. 05. 2015 3:52,Europe/Vienna
work     #home,6,0.43209878,10,19. 05. 2015 0:10,e065c60,7.840,1431987020170,-2,0.14300768,3.5,19. 05. 2015 8:00,168,19. 05. 2015 8:00,Europe/Vienna
work     #home,6,0.5529412,10,13. 05. 2015 0:11,e065c60,7.120,1431468684148,-2,0.047766913,3.5,13. 05. 2015 8:00,0,13. 05. 2015 7:18,Europe/Vienna
work  #alcohol  #home,4,0.57954544,10,11. 05. 2015 23:36,e065c60,8.580,1431380188776,-2,0.06896413,4.0,12. 05. 2015 8:00,168,12. 05. 2015 8:11,Europe/Vienna
work     #home,4,0.36363637,10,11. 05. 2015 2:23,e065c60,4.910,1431303808030,-2,0.039939877,0.0,11. 05. 2015 8:00,84,11. 05. 2015 7:18,Europe/Vienna
Manually added,-1,-2.0,10,10. 05. 2015 23:30,,2.750,1431293405461,0,0.0,0.0,11. 05. 2015 2:15,-1,11. 05. 2015 2:15,Europe/Vienna
  #home,3,0.5,10,10. 05. 2015 0:06,e065c60,7.160,1431209194873,-2,0.032982722,0.0,11. 05. 2015 8:00,84,10. 05. 2015 7:15,Europe/Vienna
work  #alcohol  #home,6,0.6395349,10,07. 05. 2015 23:52,e065c60,6.000,1431035578955,-7,0.0422764,0.0,08. 05. 2015 8:00,0,08. 05. 2015 5:53,Europe/Vienna
work    #home,7,0.5529412,10,07. 05. 2015 0:16,e065c60,7.110,1430950567669,-2,0.047379382,0.0,07. 05. 2015 8:00,0,07. 05. 2015 7:22,Europe/Vienna
work    #home,4,0.57471263,10,06. 05. 2015 0:17,e065c60,4.850,1430864258179,-2,0.026563935,4.25,06. 05. 2015 8:00,168,06. 05. 2015 5:08,Europe/Vienna
work         #home,5,0.5714286,10,05. 05. 2015 1:13,e065c60,5.870,1430781234765,-2,0.02276044,0.0,05. 05. 2015 8:00,84,05. 05. 2015 7:06,Europe/Vienna
work     #home,7,0.6333333,10,27. 04. 2015 0:04,e065c68,6.260,1430085896074,-2,0.06397018,3.75,27. 04. 2015 8:00,168,27. 04. 2015 6:20,Europe/Vienna
  #home,7,0.62886596,10,25. 04. 2015 23:30,e065c68,8.660,1429997445455,-2,0.030827584,4.0,26. 04. 2015 9:30,0,26. 04. 2015 8:10,Europe/Vienna
work       #home,4,0.76086956,10,24. 04. 2015 0:21,e065c3d,3.820,1429827677348,-2,0.031502396,0.0,24. 04. 2015 8:00,0,24. 04. 2015 4:10,Europe/Vienna
work          #home,4,0.63265306,10,23. 04. 2015 2:00,e065c3d,4.370,1429747232309,-2,0.021782227,0.0,23. 04. 2015 8:00,336,23. 04. 2015 6:22,Europe/Vienna
