date,delta
2016-06-03,0 days 10:59:00.000000000
2016-06-06,0 days 08:48:00.000000000
2016-06-07,0 days 10:26:00.000000000
2016-06-08,0 days 09:14:00.000000000
2016-06-09,
2016-06-10,0 days 09:18:00.000000000
2016-06-11,0 days 00:04:00.000000000
2016-06-13,0 days 11:24:00.000000000
2016-06-14,0 days 08:44:00.000000000
2016-06-15,0 days 10:37:00.000000000
2016-06-16,0 days 11:27:00.000000000
2016-06-17,0 days 08:19:00.000000000
2016-06-20,0 days 10:26:00.000000000
2016-06-21,0 days 11:27:00.000000000
2016-06-22,0 days 11:05:00.000000000
2016-06-23,0 days 09:51:00.000000000
2016-06-24,0 days 05:30:00.000000000
2016-06-27,0 days 12:02:00.000000000
2016-06-28,0 days 09:55:00.000000000
2016-06-29,0 days 12:11:00.000000000
2016-06-30,0 days 00:29:00.000000000
2016-07-01,0 days 05:29:00.000000000
2016-07-02,0 days 03:28:00.000000000
2016-07-03,0 days 02:08:00.000000000
2016-07-04,0 days 12:07:00.000000000
2016-07-05,
2016-07-06,0 days 09:35:00.000000000
2016-07-07,0 days 10:25:00.000000000
2016-07-08,0 days 12:40:00.000000000
2016-07-11,0 days 09:12:00.000000000
2016-07-12,0 days 11:43:00.000000000
2016-07-13,0 days 12:42:00.000000000
2016-07-14,
2016-07-15,0 days 10:08:00.000000000
2016-07-16,0 days 00:01:00.000000000
2016-07-18,0 days 10:37:00.000000000
2016-07-19,0 days 10:04:00.000000000
2016-07-22,0 days 12:40:00.000000000
2016-07-23,
2016-07-24,
2016-07-25,0 days 10:03:00.000000000
2016-07-26,0 days 12:31:00.000000000
2016-07-27,0 days 10:23:00.000000000
2016-07-28,0 days 13:31:00.000000000
2016-07-29,0 days 06:32:00.000000000
2016-07-30,0 days 03:41:00.000000000
2016-07-31,0 days 05:24:00.000000000
2016-08-01,0 days 09:49:00.000000000
2016-08-02,0 days 13:02:00.000000000
2016-08-03,0 days 09:26:00.000000000
2016-08-04,0 days 00:44:00.000000000
2016-08-05,0 days 08:20:00.000000000
2016-08-10,0 days 10:28:00.000000000
2016-08-11,0 days 10:53:00.000000000
2016-08-12,0 days 09:02:00.000000000
