event,timestamp
ALARM_LATEST,1470203100000
LIGHT_START,1470087993145
TRACKING_PAUSED,1470087994721
TRACKING_RESUMED,1470088115525
LIGHT_END,1470096081992
DEEP_START,1470096081992
REM_START,1470098750571
REM_END,1470099950571
LIGHT_START,1470099950571
DEEP_END,1470099950571
LIGHT_END,1470100653949
DEEP_START,1470100653949
LIGHT_START,1470102412394
DEEP_END,1470102412394
LIGHT_END,1470105577595
DEEP_START,1470105577595
LIGHT_START,1470107336040
DEEP_END,1470107336040
LIGHT_END,1470110852930
DEEP_START,1470110852930
LIGHT_START,1470112611375
DEEP_END,1470112611375
ALARM_EARLIEST,1470115500000
ALARM_STARTED,1470115507346
ALARM_SNOOZE,1470115534624
ALARM_STARTED,1470116134776
ALARM_SNOOZE,1470116154472
ALARM_STARTED,1470116574539
ALARM_SNOOZE,1470116604457
ALARM_LATEST,1470116700000
ALARM_STARTED,1470116904520
ALARM_SNOOZE,1470116925408
ALARM_STARTED,1470117165476
ALARM_DISMISS,1470117183137
LIGHT_END,1470117183377
DEEP_START,1470004807614
TRACKING_PAUSED,1470004808715
TRACKING_RESUMED,1470004929024
REM_START,1470008400702
REM_END,1470009600702
LIGHT_START,1470009600702
DEEP_END,1470009600702
LIGHT_END,1470010199838
DEEP_START,1470010199838
REM_START,1470012594654
REM_END,1470013794654
LIGHT_START,1470013794654
DEEP_END,1470013794654
LIGHT_END,1470016490766
DEEP_START,1470016490766
LIGHT_START,1470018288174
DEEP_END,1470018288174
LIGHT_END,1470018587742
DEEP_START,1470018587742
LIGHT_START,1470020085582
DEEP_END,1470020085582
ALARM_EARLIEST,1470029100000
ALARM_STARTED,1470029201038
ALARM_SNOOZE,1470029227119
ALARM_LATEST,1470030300000
ALARM_STARTED,1470030427516
ALARM_SNOOZE,1470030459420
ALARM_STARTED,1470030879483
ALARM_SNOOZE,1470030891366
ALARM_STARTED,1470031011395
ALARM_SNOOZE,1470031022967
ALARM_STARTED,1470031263029
ALARM_SNOOZE,1470031279942
ALARM_STARTED,1470031459988
ALARM_DISMISS,1470031468919
LIGHT_END,1470031469170
DEEP_START,1469925327311
TRACKING_PAUSED,1469925328384
TRACKING_RESUMED,1469925448747
LIGHT_START,1469927429782
DEEP_END,1469927429782
LIGHT_END,1469928931547
DEEP_START,1469928931547
REM_START,1469932537195
REM_END,1469933737195
LIGHT_START,1469933737195
DEEP_END,1469933737195
LIGHT_END,1469934037548
DEEP_START,1469934037548
REM_START,1469936441784
REM_END,1469937641784
LIGHT_START,1469937641784
DEEP_END,1469937641784
LIGHT_END,1469949355599
TRACKING_STOPPED_BY_USER,1469949355600
DEEP_START,1469834674118
TRACKING_PAUSED,1469834676132
TRACKING_RESUMED,1469834796615
LIGHT_START,1469836602566
DEEP_END,1469836602566
SNORING,1469836933024
LIGHT_END,1469837084678
DEEP_START,1469837084678
SNORING,1469837198903
SNORING,1469837284887
SNORING,1469837370898
SNORING,1469837456897
SNORING,1469837629008
SNORING,1469837894998
SNORING,1469837981453
REM_START,1469840464742
REM_END,1469841664742
LIGHT_START,1469841664742
DEEP_END,1469841664742
LIGHT_END,1469842146854
DEEP_START,1469842146854
SNORING,1469843699187
SNORING,1469843963201
SNORING,1469844049211
SNORING,1469844135748
LIGHT_START,1469844316358
DEEP_END,1469844316358
LIGHT_END,1469844557414
DEEP_START,1469844557414
LIGHT_START,1469845762694
DEEP_END,1469845762694
LIGHT_END,1469848173254
DEEP_START,1469848173254
REM_START,1469849383814
REM_END,1469850583814
LIGHT_START,1469850583814
DEEP_END,1469850583814
LIGHT_END,1469858056619
TRACKING_STOPPED_BY_USER,1469858056620
DEEP_START,1469742308054
TRACKING_PAUSED,1469742309304
TRACKING_RESUMED,1469742429996
LIGHT_START,1469744697686
DEEP_END,1469744697686
LIGHT_END,1469746489910
DEEP_START,1469746489910
REM_START,1469747978246
REM_END,1469749178246
LIGHT_START,1469749178246
DEEP_END,1469749178246
LIGHT_END,1469750671766
DEEP_START,1469750671766
LIGHT_START,1469752165286
DEEP_END,1469752165286
LIGHT_END,1469755152326
DEEP_START,1469755152326
LIGHT_START,1469756645846
DEEP_END,1469756645846
LIGHT_END,1469757840662
DEEP_START,1469757840662
LIGHT_START,1469760230294
DEEP_END,1469760230294
LIGHT_END,1469763516038
DEEP_START,1469763516038
LIGHT_START,1469765308262
DEEP_END,1469765308262
LIGHT_END,1469766503086
TRACKING_STOPPED_BY_USER,1469766503087
ALARM_EARLIEST,1469769900000
ALARM_LATEST,1469771100000
DEEP_START,1469660693530
TRACKING_PAUSED,1469660694962
TRACKING_RESUMED,1469660815363
LIGHT_START,1469662793621
DEEP_END,1469662793621
LIGHT_END,1469663093634
DEEP_START,1469663093634
REM_START,1469664893764
REM_END,1469666093764
LIGHT_START,1469666093764
DEEP_END,1469666093764
LIGHT_END,1469666693790
DEEP_START,1469666693790
LIGHT_START,1469668493868
DEEP_END,1469668493868
LIGHT_END,1469669093894
DEEP_START,1469669093894
LIGHT_START,1469670893972
DEEP_END,1469670893972
LIGHT_END,1469671493998
DEEP_START,1469671493998
LIGHT_START,1469673294076
DEEP_END,1469673294076
LIGHT_END,1469674194115
DEEP_START,1469674194115
REM_START,1469675694232
REM_END,1469676894232
LIGHT_START,1469676894232
DEEP_END,1469676894232
ALARM_EARLIEST,1469683500000
ALARM_STARTED,1469683526719
ALARM_SNOOZE,1469683544691
ALARM_LATEST,1469684700000
ALARM_STARTED,1469685344901
ALARM_SNOOZE,1469685362711
ALARM_STARTED,1469685783007
ALARM_SNOOZE,1469685796846
ALARM_STARTED,1469686697126
ALARM_SNOOZE,1469686714924
LIGHT_END,1469686794726
TRACKING_STOPPED_BY_USER,1469686794727
DEEP_START,1469572107621
TRACKING_PAUSED,1469572109794
TRACKING_RESUMED,1469572229996
REM_START,1469578460346
REM_END,1469579660346
LIGHT_START,1469579660346
DEEP_END,1469579660346
LIGHT_END,1469583587763
DEEP_START,1469583587763
LIGHT_START,1469585702526
DEEP_END,1469585702526
LIGHT_END,1469587817289
DEEP_START,1469587817289
REM_START,1469589940488
REM_END,1469591140488
LIGHT_START,1469591140488
DEEP_END,1469591140488
LIGHT_END,1469593557360
DEEP_START,1469593557360
LIGHT_START,1469594765796
DEEP_END,1469594765796
ALARM_EARLIEST,1469597100000
ALARM_STARTED,1469597101100
ALARM_SNOOZE,1469597125224
LIGHT_END,1469597484824
TRACKING_STOPPED_BY_USER,1469597484825
ALARM_LATEST,1469598300000
LIGHT_START,1469487051140
TRACKING_PAUSED,1469487052861
TRACKING_RESUMED,1469487173598
LIGHT_END,1469488552856
DEEP_START,1469488552856
REM_START,1469493359720
REM_END,1469494559720
LIGHT_START,1469494559720
DEEP_END,1469494559720
LIGHT_END,1469495060292
DEEP_START,1469495060292
REM_START,1469497364296
REM_END,1469498564296
LIGHT_START,1469498564296
DEEP_END,1469498564296
LIGHT_END,1469499064868
DEEP_START,1469499064868
LIGHT_START,1469500316298
DEEP_END,1469500316298
LIGHT_END,1469504821446
DEEP_START,1469504821446
LIGHT_START,1469507074020
DEEP_END,1469507074020
LIGHT_END,1469509827238
TRACKING_STOPPED_BY_USER,1469509827239
ALARM_EARLIEST,1469513400000
ALARM_LATEST,1469514600000
LIGHT_START,1469401076023
TRACKING_PAUSED,1469401077211
TRACKING_RESUMED,1469401197692
LIGHT_END,1469401375093
DEEP_START,1469401375093
REM_START,1469402866723
REM_END,1469404066723
LIGHT_START,1469404066723
DEEP_END,1469404066723
LIGHT_END,1469404664863
DEEP_START,1469404664863
REM_START,1469406455563
REM_END,1469407655563
LIGHT_START,1469407655563
DEEP_END,1469407655563
LIGHT_END,1469410945333
DEEP_START,1469410945333
REM_START,1469414829523
REM_END,1469416029523
LIGHT_START,1469416029523
DEEP_END,1469416029523
LIGHT_END,1469416328593
DEEP_START,1469416328593
LIGHT_START,1469417823943
DEEP_END,1469417823943
ALARM_EARLIEST,1469427000000
ALARM_STARTED,1469427119444
ALARM_SNOOZE,1469427135339
ALARM_STARTED,1469427435493
ALARM_SNOOZE,1469427458212
LIGHT_END,1469427992332
TRACKING_STOPPED_BY_USER,1469427992333
ALARM_LATEST,1469428200000
DEEP_START,1469225898836
TRACKING_PAUSED,1469225900696
TRACKING_RESUMED,1469226020961
REM_START,1469230730948
REM_END,1469231930948
LIGHT_START,1469231930948
DEEP_END,1469231930948
LIGHT_END,1469232182286
DEEP_START,1469232182286
LIGHT_START,1469234192990
DEEP_END,1469234192990
LIGHT_END,1469236706370
DEEP_START,1469236706370
REM_START,1469239276440
REM_END,1469240476440
LIGHT_START,1469240476440
DEEP_END,1469240476440
LIGHT_END,1469243241158
DEEP_START,1469243241158
LIGHT_START,1469244497848
DEEP_END,1469244497848
LIGHT_END,1469247011258
TRACKING_STOPPED_BY_USER,1469247011259
DEEP_START,1469134850898
TRACKING_PAUSED,1469134851874
TRACKING_RESUMED,1469134972393
REM_START,1469140470890
REM_END,1469141670890
LIGHT_START,1469141670890
DEEP_END,1469141670890
LIGHT_END,1469142072066
DEEP_START,1469142072066
REM_START,1469143279122
REM_END,1469144479122
LIGHT_START,1469144479122
DEEP_END,1469144479122
LIGHT_END,1469150496762
DEEP_START,1469150496762
LIGHT_START,1469152101466
DEEP_END,1469152101466
LIGHT_END,1469154909698
DEEP_START,1469154909698
LIGHT_START,1469156915578
DEEP_END,1469156915578
LIGHT_END,1469158921458
DEEP_START,1469158921458
LIGHT_START,1469160927338
DEEP_END,1469160927338
ALARM_EARLIEST,1469165100000
ALARM_STARTED,1469165514478
ALARM_SNOOZE,1469165546843
ALARM_STARTED,1469166146949
ALARM_SNOOZE,1469166184522
ALARM_LATEST,1469166300000
ALARM_STARTED,1469166484590
ALARM_SNOOZE,1469166515001
ALARM_STARTED,1469166935253
ALARM_DISMISS,1469166944718
LIGHT_END,1469166945026
DEEP_START,1469050437229
TRACKING_PAUSED,1469050438695
TRACKING_RESUMED,1469050559013
REM_START,1469051676995
REM_END,1469052876995
LIGHT_START,1469052876995
DEEP_END,1469052876995
LIGHT_END,1469056362375
DEEP_START,1469056362375
LIGHT_START,1469058105065
DEEP_END,1469058105065
LIGHT_END,1469061241907
DEEP_START,1469061241907
LIGHT_START,1469063333135
DEEP_END,1469063333135
LIGHT_END,1469067515591
DEEP_START,1469067515591
LIGHT_START,1469069606819
DEEP_END,1469069606819
LIGHT_END,1469071698047
DEEP_START,1469071698047
REM_START,1469073983427
REM_END,1469075183427
LIGHT_START,1469075183427
DEEP_END,1469075183427
ALARM_EARLIEST,1469078700000
ALARM_STARTED,1469078730681
ALARM_SNOOZE,1469078753303
ALARM_STARTED,1469078933346
ALARM_SNOOZE,1469078954508
ALARM_STARTED,1469079254794
ALARM_SNOOZE,1469079297746
ALARM_LATEST,1469079900000
ALARM_STARTED,1469080197798
ALARM_SNOOZE,1469080221474
ALARM_STARTED,1469080401704
ALARM_DISMISS,1469080411247
LIGHT_END,1469080411511
LIGHT_START,1468964384890
TRACKING_PAUSED,1468964386619
TRACKING_RESUMED,1468964510857
LIGHT_END,1468964586533
DEEP_START,1468964586533
REM_START,1468966007892
REM_END,1468967207892
LIGHT_START,1468967207892
DEEP_END,1468967207892
LIGHT_END,1468970635823
DEEP_START,1468970635823
LIGHT_START,1468971845681
DEEP_END,1468971845681
LIGHT_END,1468973257182
DEEP_START,1468973257182
