datetime,event
12/02/16 17:56,exited
13/02/16 12:51,entered
13/02/16 16:06,exited
13/02/16 21:02,entered
13/02/16 21:41,exited
13/02/16 21:46,entered
13/02/16 21:51,exited
15/02/16 08:49,entered
15/02/16 15:08,exited
15/02/16 15:18,entered
15/02/16 21:54,exited
16/02/16 10:01,entered
16/02/16 20:32,exited
17/02/16 09:32,entered
17/02/16 12:57,exited
17/02/16 13:10,entered
17/02/16 17:35,exited
18/02/16 08:57,entered
18/02/16 14:52,exited
22/02/16 09:23,entered
22/02/16 18:43,exited
23/02/16 08:02,entered
23/02/16 14:16,exited
23/02/16 15:04,entered
23/02/16 19:34,exited
24/02/16 00:12,entered
24/02/16 00:14,exited
24/02/16 09:19,entered
24/02/16 18:44,exited
25/02/16 09:21,entered
25/02/16 14:21,exited
25/02/16 14:43,entered
25/02/16 17:49,exited
26/02/16 19:03,exited
27/02/16 21:31,entered
28/02/16 00:28,entered
28/02/16 00:52,exited
29/02/16 09:12,entered
29/02/16 11:06,entered
29/02/16 12:54,exited
29/02/16 12:56,entered
29/02/16 19:47,exited
01/03/16 12:27,entered
01/03/16 18:13,exited
02/03/16 09:38,entered
02/03/16 18:46,exited
03/03/16 09:28,entered
03/03/16 20:56,exited
04/03/16 09:52,entered
04/03/16 10:13,exited
04/03/16 15:01,entered
04/03/16 19:11,exited
05/03/16 18:46,entered
05/03/16 18:50,exited
07/03/16 09:03,entered
08/03/16 09:15,entered
08/03/16 21:35,exited
09/03/16 09:10,entered
09/03/16 20:39,exited
10/03/16 08:51,entered
10/03/16 15:02,entered
10/03/16 18:37,exited
10/03/16 23:03,entered
10/03/16 23:07,exited
11/03/16 08:50,entered
11/03/16 23:59,exited
12/03/16 18:29,entered
14/03/16 09:38,entered
14/03/16 20:06,exited
15/03/16 09:33,entered
15/03/16 21:29,exited
16/03/16 12:03,entered
16/03/16 19:54,exited
17/03/16 08:31,entered
17/03/16 18:55,exited
18/03/16 10:07,entered
18/03/16 19:58,exited
30/03/16 08:26,entered
30/03/16 19:24,exited
30/03/16 21:09,entered
30/03/16 21:14,exited
31/03/16 07:52,entered
31/03/16 19:34,exited
01/04/16 08:40,entered
01/04/16 21:35,exited
02/04/16 18:35,entered
02/04/16 18:39,exited
04/04/16 07:53,entered
04/04/16 19:21,exited
05/04/16 08:52,entered
05/04/16 08:58,entered
05/04/16 12:42,entered
05/04/16 13:59,entered
05/04/16 14:04,exited
05/04/16 16:04,entered
05/04/16 20:28,exited
06/04/16 09:22,entered
06/04/16 13:00,entered
06/04/16 13:37,exited
06/04/16 13:39,entered
06/04/16 20:57,exited
06/04/16 21:05,entered
06/04/16 21:09,exited
07/04/16 09:16,entered
07/04/16 18:53,exited
08/04/16 08:49,entered
08/04/16 19:49,exited
09/04/16 01:29,entered
09/04/16 01:49,exited
11/04/16 09:26,entered
11/04/16 20:01,entered
11/04/16 20:07,exited
11/04/16 20:24,entered
12/04/16 00:38,exited
12/04/16 09:10,entered
12/04/16 19:37,exited
13/04/16 08:30,entered
14/04/16 00:40,exited
14/04/16 08:22,entered
14/04/16 21:15,exited
15/04/16 08:10,entered
15/04/16 21:18,exited
18/04/16 09:07,entered
19/04/16 01:21,exited
19/04/16 09:28,entered
19/04/16 16:27,exited
19/04/16 16:28,entered
19/04/16 18:01,exited
20/04/16 09:06,entered
20/04/16 13:49,entered
20/04/16 13:54,exited
20/04/16 14:01,entered
20/04/16 19:13,exited
21/04/16 09:04,entered
21/04/16 09:10,exited
21/04/16 09:14,entered
21/04/16 09:26,exited
21/04/16 09:37,exited
21/04/16 09:38,entered
21/04/16 14:08,entered
22/04/16 02:08,exited
22/04/16 11:10,entered
22/04/16 17:33,exited
25/04/16 09:25,entered
25/04/16 13:40,entered
26/04/16 08:57,entered
26/04/16 10:37,exited
26/04/16 10:40,entered
26/04/16 20:24,exited
27/04/16 09:24,entered
27/04/16 18:48,entered
28/04/16 08:56,entered
28/04/16 17:21,exited
29/04/16 08:58,entered
29/04/16 20:25,exited
02/05/16 09:12,entered
02/05/16 21:37,exited
03/05/16 09:53,entered
03/05/16 17:57,exited
03/05/16 22:17,entered
04/05/16 09:13,entered
04/05/16 19:10,exited
05/05/16 03:36,entered
05/05/16 03:40,exited
06/05/16 08:52,entered
06/05/16 17:14,exited
07/05/16 13:44,entered
07/05/16 14:20,exited
09/05/16 09:04,entered
09/05/16 17:13,exited
10/05/16 09:36,entered
10/05/16 17:55,exited
11/05/16 09:26,entered
11/05/16 16:50,exited
12/05/16 09:41,entered
12/05/16 18:03,exited
12/05/16 18:45,entered
12/05/16 19:28,exited
13/05/16 13:33,entered
13/05/16 18:29,exited
17/05/16 10:24,entered
17/05/16 19:37,exited
18/05/16 09:30,entered
18/05/16 19:07,exited
19/05/16 09:20,entered
19/05/16 18:49,exited
20/05/16 08:48,entered
20/05/16 20:00,exited
22/05/16 12:40,entered
22/05/16 13:25,exited
23/05/16 08:21,entered
23/05/16 20:49,exited
24/05/16 08:42,entered
24/05/16 20:58,exited
25/05/16 09:16,entered
25/05/16 18:12,exited
26/05/16 16:01,entered
26/05/16 16:45,exited
27/05/16 08:57,entered
27/05/16 16:51,exited
30/05/16 09:00,entered
30/05/16 18:52,exited
31/05/16 08:31,entered
31/05/16 18:55,exited
01/06/16 09:36,entered
01/06/16 18:59,exited
02/06/16 08:55,entered
02/06/16 12:21,exited
02/06/16 12:33,entered
02/06/16 21:08,exited
03/06/16 08:38,entered
03/06/16 19:37,exited
06/06/16 09:19,entered
06/06/16 18:07,exited
07/06/16 09:01,entered
07/06/16 17:43,exited
07/06/16 17:56,entered
07/06/16 19:40,exited
08/06/16 09:01,entered
08/06/16 15:23,exited
08/06/16 17:02,entered
08/06/16 19:54,exited
09/06/16 08:51,entered
09/06/16 09:59,entered
09/06/16 10:03,entered
09/06/16 16:56,entered
10/06/16 08:55,entered
10/06/16 18:13,exited
10/06/16 19:08,entered
11/06/16 19:01,entered
11/06/16 19:05,exited
13/06/16 08:52,entered
13/06/16 10:48,entered
13/06/16 11:09,entered
13/06/16 11:41,entered
13/06/16 11:46,exited
13/06/16 11:48,entered
13/06/16 11:49,exited
13/06/16 11:52,entered
13/06/16 11:53,exited
13/06/16 11:56,entered
13/06/16 18:03,exited
13/06/16 18:15,entered
13/06/16 20:36,exited
14/06/16 09:10,entered
14/06/16 17:54,exited
15/06/16 08:52,entered
15/06/16 19:29,exited
16/06/16 08:51,entered
16/06/16 12:12,exited
16/06/16 12:14,entered
16/06/16 12:25,entered
16/06/16 20:20,exited
17/06/16 08:54,entered
17/06/16 17:13,exited
17/06/16 17:49,entered
20/06/16 09:14,entered
20/06/16 19:40,exited
21/06/16 09:24,entered
21/06/16 20:51,exited
22/06/16 09:33,entered
22/06/16 12:59,exited
22/06/16 13:01,entered
22/06/16 19:55,entered
22/06/16 20:38,exited
22/06/16 20:39,entered
22/06/16 20:41,exited
23/06/16 08:51,entered
23/06/16 18:42,exited
24/06/16 08:55,entered
24/06/16 13:10,exited
24/06/16 13:42,entered
24/06/16 14:57,exited
27/06/16 09:33,entered
27/06/16 21:35,exited
28/06/16 08:52,entered
28/06/16 12:11,exited
28/06/16 12:29,entered
28/06/16 12:32,exited
28/06/16 12:39,entered
28/06/16 19:12,exited
29/06/16 09:34,entered
29/06/16 12:26,exited
29/06/16 12:29,entered
29/06/16 12:30,exited
29/06/16 12:32,entered
29/06/16 12:35,exited
29/06/16 12:38,entered
29/06/16 21:53,exited
30/06/16 18:44,entered
30/06/16 19:13,exited
01/07/16 08:52,entered
01/07/16 14:21,exited
02/07/16 14:40,entered
02/07/16 15:50,exited
02/07/16 17:46,entered
02/07/16 20:04,exited
03/07/16 18:06,entered
03/07/16 20:14,exited
04/07/16 09:07,entered
04/07/16 21:14,exited
05/07/16 19:34,exited
06/07/16 09:24,entered
06/07/16 18:59,exited
07/07/16 09:38,entered
07/07/16 20:03,exited
08/07/16 08:56,entered
